"id","Cluster"
63686631,1
63618599,1
63703831,1
63683162,1
63555924,1
63653064,2
63681818,1
63693136,1
63668364,1
63599646,2
63686181,1
63599460,1
63680782,1
63668659,1
63702878,2
63674469,3
63631347,1
63541071,1
63641582,2
63704801,2
63680113,1
63655438,1
63703283,2
63579502,1
63699622,1
63667866,1
63661231,2
63624233,1
63691566,1
63415054,1
63673816,1
63690464,2
63693158,1
63644908,1
63682385,1
63677891,2
63599645,2
63655687,1
63690650,2
63565909,1
63704490,1
63564940,1
63707451,3
63606539,1
63500820,2
63694640,2
63691956,2
63678310,1
63672646,1
63660836,2
63603004,2
63449934,2
63545306,2
63678752,2
63604738,2
63639165,1
63700973,1
63530221,1
63617098,1
63692776,1
63707981,1
63585640,1
63706624,1
63619749,1
63643498,1
63664257,2
63695802,2
63698780,1
63657371,1
63695879,1
63708180,1
63580435,1
63698904,1
63675307,1
63609105,1
63669873,3
63664353,1
63688147,1
63670159,1
63620639,2
63651532,1
63687268,1
63698095,1
63698094,1
63483831,1
63575760,1
63685850,1
63642685,1
63622629,1
63643685,1
63569029,1
63695982,2
63643637,1
63635242,1
63698614,2
63668365,1
63659917,1
63651863,1
63679587,2
63685002,1
63705429,1
63649397,1
63691647,1
63705549,1
63653402,2
63511286,1
63669981,2
63638099,1
63662089,1
63710432,2
63542435,2
63449931,2
63697921,2
63673196,1
63685838,1
63683119,1
63709107,1
63632712,1
63710766,1
63672306,2
63683385,1
63691655,1
63698781,1
63610656,1
63591774,1
63632831,1
63573588,2
63689234,1
63608478,1
63710431,2
63678557,1
63583664,1
63212972,1
63579789,1
63630833,2
63634551,1
63475336,1
63653063,2
63471247,1
63694150,1
63708094,1
63658587,1
63709928,1
63705548,1
63710969,1
63704571,2
63614798,1
63659562,1
63556082,2
63378490,2
63584666,1
63615356,1
63711554,1
63666315,1
63687051,2
63630774,2
63570122,2
63685874,1
63622473,2
63695880,1
63688682,1
63691739,2
63698699,1
63668571,2
63645159,3
63636970,2
63642605,2
63638861,2
63641621,1
63710364,1
63699475,2
63615290,2
63709091,2
63535299,2
63666314,1
63617280,1
63702588,1
63629559,1
63709579,1
63632623,2
63686238,1
63685174,2
63694454,1
63712566,1
63710968,1
63660584,1
63630429,1
63660385,1
63647009,1
63598455,2
63609638,1
63622471,2
63554436,1
63545308,2
63714590,2
63651605,1
63681861,1
63688828,1
63704169,1
63655090,1
63716387,2
63708022,1
63707070,2
63678140,2
63707450,3
63653404,2
63543326,1
63594559,1
63680889,1
63542502,1
63677268,1
63602958,2
63715791,2
63584879,2
63659708,1
63616838,2
63653890,2
63664888,2
63634831,1
63676355,1
63678556,1
63709031,2
63691574,1
63714621,2
63714667,1
63632478,2
63709587,2
63627040,1
63668854,2
63682601,1
63598189,1
63685278,2
63694522,1
63620333,1
63562372,1
63570627,1
63644962,2
63653557,2
63662101,2
63577088,1
63640146,2
63579730,1
63528512,1
63709185,1
63713377,1
63640121,1
63432444,2
63650248,1
63700974,1
63646262,1
63669744,2
63652065,2
63677890,2
63713582,1
63696123,1
63679588,2
63688058,1
63704489,1
63620275,2
63558569,2
63578946,1
63626055,1
63568188,1
63496610,2
63614039,1
63629667,1
63720146,2
63657172,1
63714948,1
63687646,2
63679589,2
63698617,2
63707072,2
63573016,1
63628285,1
63602672,2
63712743,1
63592659,2
63441367,2
63517180,2
63594792,1
63449933,2
63688406,1
63424029,2
63663840,1
63629074,2
63709090,2
63716023,2
63637612,2
63708179,1
63668570,2
63622908,2
63722088,1
63668773,2
63679895,1
63462034,1
63663520,1
63660742,1
63715817,1
63658036,1
63656572,1
63608737,1
63449932,2
63647311,1
63487483,1
63634843,1
63681852,1
63722974,2
63640651,1
63659918,1
63620065,1
63699775,1
63677892,2
63632479,2
63585981,2
63691682,1
63616551,2
63694565,2
63711050,2
63720908,1
63455115,1
63698905,1
63605421,2
63617550,2
63685276,2
63694731,2
63645344,1
63636971,2
63714038,1
63714162,1
63724202,1
63627997,1
63721433,1
63609032,1
63709580,1
63708021,1
63695800,2
63706623,1
63646559,2
63698616,2
63665337,1
63720792,1
63710888,1
63723608,2
63677944,2
63693344,2
63591633,1
63581186,1
63722286,1
63693820,1
63642684,1
63626365,2
63722601,2
63722602,2
63582104,1
63666411,2
63670487,1
63716079,1
63598529,1
63637537,2
63629073,2
63724334,2
63639164,1
63711891,1
63725976,1
63600455,1
63672305,2
63661345,1
63632477,2
63620092,1
63652156,1
63707069,2
63561123,2
63724819,1
63655267,3
63680716,1
63634102,2
63638766,1
63597378,1
63440696,1
63707481,2
63686720,1
63659255,2
63714196,1
63589426,1
63721449,2
63699473,2
63722797,2
63713252,2
63711903,1
63632099,1
63680327,1
63640372,2
63707842,1
63724364,1
63649102,1
63696772,1
63698295,1
63653066,2
63637625,1
63605261,1
63716332,1
63614700,2
63548651,1
63705437,1
63585641,1
63677215,1
63547774,1
63496609,2
63689312,1
63727944,1
63714356,1
63674821,1
63487378,1
63716078,1
63709092,2
63644592,2
63724503,1
63694166,1
63588436,1
63576894,2
63423613,1
63547062,1
63603538,2
63542816,1
63677945,2
63724868,2
63398983,2
63632832,1
63723963,2
63645238,2
63680114,1
63626402,1
63719756,2
63696621,1
63700552,1
63711662,2
63651197,1
63710547,1
63716024,2
63684287,2
63719935,1
63662498,2
63706720,2
63666765,1
63298742,1
63664200,1
63704157,1
63698615,2
63654769,1
63635135,1
63716389,2
63661632,2
63727497,2
63727498,2
63724867,2
63724866,2
63545699,2
63328279,1
63680890,1
63722642,1
63721432,1
63263580,1
63676142,1
63709548,1
63722976,2
63655513,1
63706752,1
63730067,1
63725975,1
63727237,1
63556703,2
63577619,1
63727306,2
63676679,1
63647782,3
63726346,1
63565057,2
63661633,2
63642373,2
63664354,1
63669871,3
63609364,1
63444459,1
63722603,2
63633268,1
63637824,2
63606124,2
63616118,2
63727324,1
63631346,1
63728299,1
63491969,1
63550853,1
63652919,1
63728438,2
63617339,1
63632621,2
63540348,2
63561194,2
63687558,1
63669746,2
63694563,2
63730493,2
63704745,1
63693928,2
63616775,2
63647238,1
63699472,2
63735399,1
63672205,1
63546176,1
63687554,1
63735618,2
63646537,1
63654514,1
63669745,2
63647808,2
63653403,2
63578914,2
63287533,1
63691957,2
63694730,2
63715790,2
63708592,1
63625232,1
63612191,1
63700551,1
63579453,1
63655688,1
63683163,1
63734172,2
63686180,1
63735571,1
63687648,2
63657892,1
63726347,1
63317093,1
63677947,2
63642221,1
63723964,1
63547393,1
63664697,1
63694866,1
63691891,1
63732330,1
63523070,2
63732523,1
63565910,1
63543333,2
63659376,2
63735400,1
63711904,1
63633462,1
63687647,2
63732942,3
63687589,2
63676593,2
63595019,1
63474229,1
63677946,2
63716533,1
63712565,1
63614703,2
63729020,1
63654874,1
63737632,2
63707452,3
63702879,2
63623094,1
63674478,2
63672732,2
63556309,1
63717142,2
63662231,2
63694092,1
63666750,2
63679317,1
63643185,1
63690382,2
63695981,2
63653065,2
63735619,2
63691535,1
63709737,1
63577812,2
63737633,2
63624716,2
63696672,1
63622443,2
63728437,2
63637581,1
63663955,1
63709135,1
63538600,1
63608250,1
63723611,2
63730325,2
63727611,1
63649758,3
63722135,2
63728066,2
63681133,1
63724363,1
63447652,1
63739528,1
63732747,1
63684027,1
63729970,1
63698438,2
63733028,2
63724721,2
63663289,2
63570337,1
63685177,2
63738520,1
63682124,1
63721043,2
63561125,2
63635720,2
63721153,2
63716665,2
63629076,2
63647309,1
63666413,2
63632019,2
63708846,2
63687050,2
63727044,2
63716022,2
63720273,1
63652895,1
63732780,2
63740919,2
63688703,1
63727308,2
63741148,1
63738446,1
63732981,1
63724722,2
63463106,1
63743989,2
63696122,1
63724720,2
63664186,2
63602494,2
63682147,1
63696416,2
63630428,1
63645103,1
63730689,1
63730821,1
63699375,1
63716025,2
63728439,2
63731015,1
63655812,2
63649063,1
63666751,2
63698238,1
63657688,1
63646482,1
63697127,1
63707071,2
63743070,3
63709985,1
63650574,2
63657893,1
63707480,2
63664855,1
63686630,1
63733431,1
63670799,1
63640131,2
63734154,2
63603380,1
63710887,1
63710731,1
63726178,1
63738277,1
63649027,1
63719269,1
63668569,2
63643484,1
63642374,2
63608142,2
63724810,1
63561098,1
63664886,2
63597441,1
63676418,1
63651413,2
63744985,1
63731374,2
63673879,1
63746458,2
63537051,2
63739846,2
63672206,1
63748384,1
63646561,2
63744016,1
63686151,1
63616550,2
63556701,2
63723997,1
63685475,1
63347565,1
63697837,2
63718731,1
63677438,1
63678751,2
63687209,1
63625128,1
63662501,2
63742204,1
63679263,1
63721560,1
63719161,1
63746652,1
63636607,1
63701664,3
63724723,2
63693345,2
63730350,1
63614702,2
63710198,3
63710060,1
63668855,2
63669980,2
63583783,1
63664696,1
63746150,1
63684105,2
63744754,2
63731080,2
63614324,1
63739600,1
63688683,1
63709136,1
63728682,1
63746463,1
63706719,2
63699802,1
63710654,1
63743781,2
63710730,1
63740007,1
63716476,1
63649340,1
63720907,1
63685301,2
63581696,3
63724709,1
63599374,1
63738597,1
63744126,2
63727612,1
63737631,2
63616680,1
63573636,2
63742083,2
63632022,2
63616878,1
63703943,1
63732781,2
63697066,1
63698439,2
63688871,1
63740006,1
63622773,2
63690653,2
63621629,1
63694562,2
63690652,2
63668774,2
63744129,2
63594202,1
63669914,1
63636972,2
63725111,1
63688279,2
63662104,2
63719912,1
63744753,2
63632020,2
63714696,2
63656849,1
63732754,1
63738189,1
63690304,1
63687591,2
63632622,2
63683140,1
63739848,2
63655811,2
63690383,2
63708077,1
63749448,2
63691704,3
63749478,1
63668776,2
63732982,1
63653760,1
63740475,2
63747200,1
63645796,2
63693930,2
63728501,1
63713186,1
63598466,1
63732524,1
63696818,1
63695801,2
63730050,2
63735649,2
63741084,2
63695983,2
63620047,1
63753747,2
63753881,2
63674445,2
63733177,2
63546390,1
63694945,2
63678753,2
63235258,1
63700991,1
63728440,2
63710723,1
63705202,1
63599832,1
63730052,2
63572139,1
63717616,1
63687619,1
63663435,1
63635585,2
63605423,2
63609172,2
63685300,2
63711048,2
63247966,1
63723996,1
63693895,2
63696556,1
63711555,1
63656486,1
63737943,1
63730820,1
63692413,1
63612190,1
63667865,1
63687390,2
63743782,2
63599161,1
63735676,1
63746737,1
63712571,1
63745720,2
63624718,2
63685298,2
63752272,3
63622747,1
63375334,1
63733176,2
63562047,1
63619465,1
63669945,1
63674476,2
63755450,2
63757039,2
63751553,1
63674791,1
63637556,1
63714947,1
63739529,1
63714624,2
63706708,1
63757454,1
63636606,1
63360280,1
63754753,2
63702589,1
63738368,1
63709929,1
63709736,1
63729047,1
63685299,2
63745663,1
63727440,1
63733026,2
63646488,1
63752336,1
63644233,1
63709984,1
63712956,1
63632776,1
63696773,1
63675535,1
63715788,2
63714125,2
63622472,2
63697923,2
63632021,2
63590684,2
63678754,2
63751977,1
63757453,1
63653248,2
63668853,2
63755127,1
63738598,1
63260400,1
63601263,1
63703281,2
63688413,1
63694872,1
63761236,2
63748933,1
63656949,1
63736867,1
63720102,1
63645969,1
63753291,1
63661232,2
63639352,1
63721737,1
63760408,1
63721842,2
63570407,1
63760373,1
63757736,2
63702677,1
63757735,2
63744128,2
63616548,2
63665992,1
63744125,2
63649822,1
63696567,1
63747199,1
63737944,1
63755769,1
63658491,1
63644985,1
63754875,2
63665993,1
63721045,2
63676842,1
63752327,1
63638523,3
63752326,1
63744127,2
63668856,2
63519777,1
63694712,1
63669146,1
63692329,1
63761235,2
63746308,1
63762801,1
