"id","Cluster"
77317574,1
77379806,2
77363333,1
77324820,1
77418350,2
77438978,2
77408814,2
77156258,1
77421331,2
77370135,2
77437990,2
77436929,2
77399634,2
77438103,2
77418746,2
77434502,1
77395756,2
77273305,1
76956245,1
77273533,1
77327420,1
77364164,1
77394653,1
77139330,1
77368877,2
77440285,2
77136621,1
77437686,2
77385512,2
77243916,1
77388376,2
77435107,2
77441827,2
77386876,1
77418631,2
77431109,2
77436694,2
77391128,2
77400776,2
77437995,2
77319282,1
77431496,2
77319281,1
77364068,1
77409843,2
77439940,2
77387706,2
77432811,2
77420823,2
77291878,1
77336843,1
77433293,2
77410130,2
77415808,2
77414256,1
77428009,2
77428031,2
77440460,1
77135111,1
77165714,1
77417373,2
77435060,1
77425673,1
77437997,2
77134120,1
77409338,2
77437968,2
77376755,2
77440930,2
77374990,2
77418190,2
77388728,2
77347591,2
77358553,1
77338411,1
77319464,1
77328534,1
77410105,2
77362053,2
77237349,1
77440504,2
77285073,1
77306313,1
77388362,1
77267603,2
77420391,2
77355355,1
77443473,2
77352847,1
77429540,2
77333628,1
77413479,2
77399514,1
77399447,2
77442565,1
77349267,2
77374983,1
77361286,2
77440149,2
77432810,2
77324491,1
77331086,1
77184578,1
77080011,1
77305759,1
77391969,2
77418308,2
77331242,2
77385222,2
77440503,2
77404964,2
77428033,2
77236654,1
77444511,2
77381417,1
77312590,2
77429542,2
77437989,2
77267240,1
77409162,2
77442669,1
77396036,1
77402492,2
77431909,1
77314635,1
77280461,2
77440282,2
77364165,1
77445864,2
77445950,2
77094665,1
77177841,1
77217916,1
77331643,1
77433375,1
77328187,2
77209484,1
77403404,2
77413185,2
77396611,1
77225046,1
77388502,2
77409215,2
77292655,1
77398513,2
77446500,1
77412319,2
77445611,2
77302503,2
77443823,2
77210225,1
77408082,1
77338412,1
77420972,2
77285205,1
77142384,1
77251959,1
77281379,1
77407313,2
77440461,1
77426671,1
77399186,1
77444681,2
77347389,2
77426790,2
77406504,1
77417325,1
77261141,1
77449106,2
77295175,1
77383119,1
77374971,1
77439939,2
77350039,1
77441031,1
77357512,2
77398514,2
77396035,1
77382318,2
77030371,1
77195681,2
77327555,1
77441248,2
77378524,1
77430772,1
77433292,2
77449856,2
77430538,2
77414112,1
77444497,1
77320909,1
77446162,2
77443284,2
77425579,2
77377038,2
77394125,2
77422944,2
77206127,1
77437967,2
77242707,1
77153834,1
77439345,2
77449077,2
77448143,2
77440947,2
77194904,1
77308212,1
77314636,1
77356094,1
77400107,2
77293811,1
77368958,2
77399174,2
77451438,1
77448679,1
77239745,1
77451479,2
77266112,2
77450213,2
77299385,1
77433847,2
77298872,1
77450447,1
77322439,1
77310159,2
77416009,2
77449105,2
77434247,2
77423418,2
77383127,2
77420572,2
77061389,1
77315725,1
77077993,1
77410056,2
77419177,2
77311529,1
77337236,1
77411562,1
77443285,2
77447289,2
77005841,1
77256998,1
77363581,2
77451626,2
77418747,2
77436663,2
77281476,1
77451795,2
77445035,2
77434234,2
77393293,2
77306369,2
77427208,2
77396797,2
77374953,1
77445704,2
77429275,2
77422276,2
77416728,2
77352342,1
77209527,1
77251232,1
77415726,2
77339091,1
77441826,2
77444512,2
77440746,1
77251229,1
77447431,1
77407791,2
77452965,1
77446163,2
77243054,1
77443507,2
77439708,2
77314566,2
